player,quiz2,quiz3,quiz4,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,quiz14,quiz15,quiz17,quiz18,quiz19,quiz20,quiz21,quiz22,quiz23,quiz24,quiz25,quiz26,quiz28,quiz29,quiz30,quiz31,quiz32,quiz33,quiz34,quiz35,quiz36,quiz37
201,A,A,B,C,C,A,B,B,C,B,A,C,B,B,A,C,C,B,C,C,C,B,B,A,B,B,B,B,B,C,A,A,B
202,A,C,B,C,C,A,B,C,C,B,A,C,B,B,A,C,C,B,-,C,B,B,B,A,A,B,B,B,A,C,A,B,B
203,A,C,B,C,C,B,B,A,C,A,A,C,B,B,A,C,B,B,C,C,C,B,B,A,C,C,B,B,A,C,A,A,B
204,A,C,B,C,C,A,B,A,C,A,A,C,B,B,A,C,B,A,C,B,C,B,B,A,A,C,B,B,C,A,A,A,B
205,A,C,B,C,C,A,B,A,C,A,A,C,A,B,B,B,C,B,C,C,B,B,B,A,A,C,B,A,B,C,C,B,B
206,A,C,B,C,C,B,B,C,C,B,A,C,B,B,A,C,C,B,C,C,B,B,B,A,A,B,B,C,C,C,A,B,B
207,A,C,B,C,C,A,B,A,C,A,B,C,B,B,A,C,C,B,C,C,C,B,B,A,A,B,B,B,C,C,A,A,A
208,C,B,B,C,C,B,B,A,C,B,A,C,B,B,A,C,C,B,B,C,C,B,B,A,A,B,B,B,A,C,A,A,C
209,A,C,B,C,C,B,B,B,C,B,A,C,C,B,A,C,C,B,C,C,C,B,B,A,C,B,B,B,A,C,A,B,B
210,A,C,B,C,B,B,B,A,C,A,A,C,B,B,A,C,C,A,C,C,B,B,B,A,A,C,B,B,C,C,A,B,A
211,C,C,B,C,B,C,B,B,C,C,A,C,B,B,A,C,C,B,C,C,C,B,B,A,C,B,B,B,A,C,A,B,B
212,C,C,B,C,C,A,B,A,C,B,A,C,A,B,A,C,C,B,C,C,C,B,B,A,A,B,B,B,A,A,A,B,B
217,B,C,C,B,C,B,B,A,C,C,B,C,B,B,A,B,C,B,C,C,C,A,C,A,A,B,C,C,C,A,A,A,B
